************ Start ************
dataset: text_classification , method: GRU text classification , setting: train test already split , result: saver , evaluation: accuracy
loading data...
method running...
--start training...
RNN_model(
  (encoder): Embedding(46159, 50, padding_idx=0)
  (encoder_dropout): Dropout(p=0.6, inplace=False)
  (rnn): GRU(50, 128, num_layers=2, batch_first=True, dropout=0.5, bidirectional=True)
  (batchnorm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc): Linear(in_features=256, out_features=2, bias=True)
)
Epoch[1] Batch[10/195] Loss[0.7454] Loss-Avg[0.8266] Acc[57.812] Acc-Avg[53.196]
Epoch[1] Batch[20/195] Loss[0.7749] Loss-Avg[0.7927] Acc[47.656] Acc-Avg[52.269]
Epoch[1] Batch[30/195] Loss[0.7387] Loss-Avg[0.7774] Acc[52.344] Acc-Avg[51.865]
Epoch[1] Batch[40/195] Loss[0.7253] Loss-Avg[0.7648] Acc[53.125] Acc-Avg[51.582]
Epoch[1] Batch[50/195] Loss[0.7289] Loss-Avg[0.7557] Acc[52.344] Acc-Avg[51.685]
Epoch[1] Batch[60/195] Loss[0.6978] Loss-Avg[0.7504] Acc[53.906] Acc-Avg[51.230]
Epoch[1] Batch[70/195] Loss[0.6845] Loss-Avg[0.7441] Acc[53.125] Acc-Avg[51.529]
Epoch[1] Batch[80/195] Loss[0.6837] Loss-Avg[0.7396] Acc[57.031] Acc-Avg[51.582]
Epoch[1] Batch[90/195] Loss[0.7172] Loss-Avg[0.7355] Acc[51.562] Acc-Avg[51.846]
Epoch[1] Batch[100/195] Loss[0.6940] Loss-Avg[0.7311] Acc[57.812] Acc-Avg[52.382]
Epoch[1] Batch[110/195] Loss[0.6643] Loss-Avg[0.7276] Acc[63.281] Acc-Avg[52.815]
Epoch[1] Batch[120/195] Loss[0.7093] Loss-Avg[0.7267] Acc[51.562] Acc-Avg[52.699]
Epoch[1] Batch[130/195] Loss[0.6893] Loss-Avg[0.7242] Acc[53.906] Acc-Avg[52.863]
Epoch[1] Batch[140/195] Loss[0.6903] Loss-Avg[0.7219] Acc[56.250] Acc-Avg[53.169]
Epoch[1] Batch[150/195] Loss[0.6090] Loss-Avg[0.7176] Acc[67.969] Acc-Avg[53.637]
Epoch[1] Batch[160/195] Loss[0.6392] Loss-Avg[0.7123] Acc[66.406] Acc-Avg[54.294]
Epoch[1] Batch[170/195] Loss[0.5853] Loss-Avg[0.7069] Acc[71.094] Acc-Avg[55.030]
Epoch[1] Batch[180/195] Loss[0.5886] Loss-Avg[0.7011] Acc[69.531] Acc-Avg[55.767]
Epoch[1] Batch[190/195] Loss[0.5641] Loss-Avg[0.6954] Acc[71.875] Acc-Avg[56.483]
Test Acc[72.836]
Epoch[2] Batch[10/195] Loss[0.6050] Loss-Avg[0.5626] Acc[70.312] Acc-Avg[72.230]
Epoch[2] Batch[20/195] Loss[0.5209] Loss-Avg[0.5523] Acc[73.438] Acc-Avg[72.321]
Epoch[2] Batch[30/195] Loss[0.5544] Loss-Avg[0.5483] Acc[66.406] Acc-Avg[72.278]
Epoch[2] Batch[40/195] Loss[0.5094] Loss-Avg[0.5476] Acc[74.219] Acc-Avg[72.161]
Epoch[2] Batch[50/195] Loss[0.5857] Loss-Avg[0.5397] Acc[71.875] Acc-Avg[72.626]
Epoch[2] Batch[60/195] Loss[0.5427] Loss-Avg[0.5265] Acc[73.438] Acc-Avg[73.450]
Epoch[2] Batch[70/195] Loss[0.5097] Loss-Avg[0.5203] Acc[75.781] Acc-Avg[74.076]
Epoch[2] Batch[80/195] Loss[0.3923] Loss-Avg[0.5109] Acc[82.812] Acc-Avg[74.740]
Epoch[2] Batch[90/195] Loss[0.3909] Loss-Avg[0.4998] Acc[80.469] Acc-Avg[75.412]
Epoch[2] Batch[100/195] Loss[0.4579] Loss-Avg[0.4921] Acc[76.562] Acc-Avg[75.851]
Epoch[2] Batch[110/195] Loss[0.3925] Loss-Avg[0.4853] Acc[82.812] Acc-Avg[76.351]
Epoch[2] Batch[120/195] Loss[0.4372] Loss-Avg[0.4782] Acc[79.688] Acc-Avg[76.763]
Epoch[2] Batch[130/195] Loss[0.3819] Loss-Avg[0.4734] Acc[82.031] Acc-Avg[77.105]
Epoch[2] Batch[140/195] Loss[0.3493] Loss-Avg[0.4670] Acc[85.938] Acc-Avg[77.504]
Epoch[2] Batch[150/195] Loss[0.3020] Loss-Avg[0.4615] Acc[85.938] Acc-Avg[77.784]
Epoch[2] Batch[160/195] Loss[0.3920] Loss-Avg[0.4552] Acc[85.156] Acc-Avg[78.217]
Epoch[2] Batch[170/195] Loss[0.3558] Loss-Avg[0.4493] Acc[82.812] Acc-Avg[78.582]
Epoch[2] Batch[180/195] Loss[0.4094] Loss-Avg[0.4467] Acc[82.812] Acc-Avg[78.850]
Epoch[2] Batch[190/195] Loss[0.3797] Loss-Avg[0.4424] Acc[82.031] Acc-Avg[79.103]
Test Acc[86.608]
Epoch[3] Batch[10/195] Loss[0.3590] Loss-Avg[0.3250] Acc[83.594] Acc-Avg[85.724]
Epoch[3] Batch[20/195] Loss[0.2605] Loss-Avg[0.3155] Acc[90.625] Acc-Avg[86.942]
