************ Start ************
dataset: text_classification , method: LSTM text classification , setting: train test already split , result: saver , evaluation: accuracy
loading data...
method running...
--start training...
RNN_model(
  (encoder): Embedding(46159, 50, padding_idx=0)
  (encoder_dropout): Dropout(p=0.6, inplace=False)
  (rnn): LSTM(50, 128, num_layers=2, batch_first=True, dropout=0.5, bidirectional=True)
  (batchnorm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc): Linear(in_features=256, out_features=2, bias=True)
)
Epoch[1] Batch[10/195] Loss[0.6833] Loss-Avg[0.8469] Acc[63.281] Acc-Avg[50.852]
Epoch[1] Batch[20/195] Loss[0.6734] Loss-Avg[0.7968] Acc[60.938] Acc-Avg[51.042]
Epoch[1] Batch[30/195] Loss[0.7520] Loss-Avg[0.7766] Acc[50.781] Acc-Avg[51.361]
Epoch[1] Batch[40/195] Loss[0.6918] Loss-Avg[0.7613] Acc[54.688] Acc-Avg[51.353]
Epoch[1] Batch[50/195] Loss[0.7257] Loss-Avg[0.7544] Acc[46.094] Acc-Avg[51.026]
Epoch[1] Batch[60/195] Loss[0.6895] Loss-Avg[0.7489] Acc[50.781] Acc-Avg[50.935]
Epoch[1] Batch[70/195] Loss[0.6561] Loss-Avg[0.7434] Acc[61.719] Acc-Avg[51.430]
Epoch[1] Batch[80/195] Loss[0.6915] Loss-Avg[0.7382] Acc[59.375] Acc-Avg[51.861]
Epoch[1] Batch[90/195] Loss[0.7046] Loss-Avg[0.7351] Acc[49.219] Acc-Avg[52.035]
Epoch[1] Batch[100/195] Loss[0.6972] Loss-Avg[0.7308] Acc[55.469] Acc-Avg[52.367]
Epoch[1] Batch[110/195] Loss[0.7192] Loss-Avg[0.7292] Acc[55.469] Acc-Avg[52.344]
Epoch[1] Batch[120/195] Loss[0.7095] Loss-Avg[0.7280] Acc[46.094] Acc-Avg[52.202]
Epoch[1] Batch[130/195] Loss[0.7175] Loss-Avg[0.7263] Acc[48.438] Acc-Avg[51.974]
Epoch[1] Batch[140/195] Loss[0.7045] Loss-Avg[0.7251] Acc[48.438] Acc-Avg[51.917]
Epoch[1] Batch[150/195] Loss[0.6771] Loss-Avg[0.7228] Acc[56.250] Acc-Avg[52.225]
Epoch[1] Batch[160/195] Loss[0.7638] Loss-Avg[0.7224] Acc[43.750] Acc-Avg[52.266]
Epoch[1] Batch[170/195] Loss[0.7108] Loss-Avg[0.7219] Acc[46.875] Acc-Avg[52.111]
Epoch[1] Batch[180/195] Loss[0.6915] Loss-Avg[0.7206] Acc[54.688] Acc-Avg[52.162]
Epoch[1] Batch[190/195] Loss[0.6505] Loss-Avg[0.7187] Acc[67.188] Acc-Avg[52.483]
Test Acc[59.212]
Epoch[2] Batch[10/195] Loss[0.6708] Loss-Avg[0.6811] Acc[60.156] Acc-Avg[55.682]
Epoch[2] Batch[20/195] Loss[0.6794] Loss-Avg[0.6797] Acc[56.250] Acc-Avg[56.362]
Epoch[2] Batch[30/195] Loss[0.7276] Loss-Avg[0.6792] Acc[47.656] Acc-Avg[56.376]
Epoch[2] Batch[40/195] Loss[0.7189] Loss-Avg[0.6877] Acc[51.562] Acc-Avg[55.393]
Epoch[2] Batch[50/195] Loss[0.6837] Loss-Avg[0.6900] Acc[57.031] Acc-Avg[54.611]
Epoch[2] Batch[60/195] Loss[0.6954] Loss-Avg[0.6922] Acc[50.000] Acc-Avg[54.111]
Epoch[2] Batch[70/195] Loss[0.6978] Loss-Avg[0.6925] Acc[52.344] Acc-Avg[53.972]
Epoch[2] Batch[80/195] Loss[0.6543] Loss-Avg[0.6898] Acc[60.156] Acc-Avg[54.514]
Epoch[2] Batch[90/195] Loss[0.7161] Loss-Avg[0.6902] Acc[55.469] Acc-Avg[54.602]
Epoch[2] Batch[100/195] Loss[0.6714] Loss-Avg[0.6912] Acc[59.375] Acc-Avg[54.455]
Epoch[2] Batch[110/195] Loss[0.6426] Loss-Avg[0.6885] Acc[64.062] Acc-Avg[54.906]
Epoch[2] Batch[120/195] Loss[0.6361] Loss-Avg[0.6840] Acc[67.188] Acc-Avg[55.611]
Epoch[2] Batch[130/195] Loss[0.6065] Loss-Avg[0.6794] Acc[67.188] Acc-Avg[56.375]
Epoch[2] Batch[140/195] Loss[0.6106] Loss-Avg[0.6722] Acc[65.625] Acc-Avg[57.270]
Epoch[2] Batch[150/195] Loss[0.5102] Loss-Avg[0.6635] Acc[74.219] Acc-Avg[58.268]
Epoch[2] Batch[160/195] Loss[0.5786] Loss-Avg[0.6528] Acc[71.875] Acc-Avg[59.462]
Epoch[2] Batch[170/195] Loss[0.5364] Loss-Avg[0.6420] Acc[74.219] Acc-Avg[60.471]
Epoch[2] Batch[180/195] Loss[0.4758] Loss-Avg[0.6330] Acc[77.344] Acc-Avg[61.417]
Epoch[2] Batch[190/195] Loss[0.4352] Loss-Avg[0.6236] Acc[79.688] Acc-Avg[62.336]
Test Acc[68.988]
Epoch[3] Batch[10/195] Loss[0.4587] Loss-Avg[0.4314] Acc[79.688] Acc-Avg[80.256]
Epoch[3] Batch[20/195] Loss[0.3770] Loss-Avg[0.4226] Acc[82.031] Acc-Avg[80.580]
