************ Start ************
dataset: text_classification , method: RNN text classification , setting: train test already split , result: saver , evaluation: accuracy
loading data...
method running...
--start training...
RNN_model(
  (encoder): Embedding(46159, 50, padding_idx=0)
  (encoder_dropout): Dropout(p=0.6, inplace=False)
  (rnn): RNN(50, 128, num_layers=2, batch_first=True, dropout=0.5, bidirectional=True)
  (batchnorm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc): Linear(in_features=256, out_features=2, bias=True)
)
Epoch[1] Batch[10/195] Loss[0.7099] Loss-Avg[0.8409] Acc[53.125] Acc-Avg[52.344]
Epoch[1] Batch[20/195] Loss[0.7730] Loss-Avg[0.7998] Acc[49.219] Acc-Avg[52.418]
Epoch[1] Batch[30/195] Loss[0.7334] Loss-Avg[0.7776] Acc[50.000] Acc-Avg[52.344]
Epoch[1] Batch[40/195] Loss[0.7352] Loss-Avg[0.7674] Acc[52.344] Acc-Avg[51.677]
Epoch[1] Batch[50/195] Loss[0.7600] Loss-Avg[0.7593] Acc[45.312] Acc-Avg[51.287]
Epoch[1] Batch[60/195] Loss[0.7120] Loss-Avg[0.7520] Acc[50.000] Acc-Avg[51.153]
Epoch[1] Batch[70/195] Loss[0.7008] Loss-Avg[0.7476] Acc[53.125] Acc-Avg[50.935]
Epoch[1] Batch[80/195] Loss[0.6964] Loss-Avg[0.7434] Acc[47.656] Acc-Avg[50.781]
Epoch[1] Batch[90/195] Loss[0.7348] Loss-Avg[0.7405] Acc[47.656] Acc-Avg[50.755]
Epoch[1] Batch[100/195] Loss[0.7043] Loss-Avg[0.7375] Acc[51.562] Acc-Avg[50.835]
Epoch[1] Batch[110/195] Loss[0.6955] Loss-Avg[0.7356] Acc[52.344] Acc-Avg[50.669]
Epoch[1] Batch[120/195] Loss[0.7340] Loss-Avg[0.7342] Acc[46.875] Acc-Avg[50.568]
Epoch[1] Batch[130/195] Loss[0.7355] Loss-Avg[0.7323] Acc[44.531] Acc-Avg[50.573]
Epoch[1] Batch[140/195] Loss[0.7119] Loss-Avg[0.7308] Acc[49.219] Acc-Avg[50.360]
Epoch[1] Batch[150/195] Loss[0.7138] Loss-Avg[0.7292] Acc[46.875] Acc-Avg[50.393]
Epoch[1] Batch[160/195] Loss[0.7248] Loss-Avg[0.7275] Acc[50.000] Acc-Avg[50.476]
Epoch[1] Batch[170/195] Loss[0.6910] Loss-Avg[0.7260] Acc[50.781] Acc-Avg[50.612]
Epoch[1] Batch[180/195] Loss[0.7569] Loss-Avg[0.7256] Acc[53.125] Acc-Avg[50.561]
Epoch[1] Batch[190/195] Loss[0.6724] Loss-Avg[0.7240] Acc[56.250] Acc-Avg[50.663]
Test Acc[50.024]
Epoch[2] Batch[10/195] Loss[0.6887] Loss-Avg[0.7042] Acc[51.562] Acc-Avg[52.628]
Epoch[2] Batch[20/195] Loss[0.6968] Loss-Avg[0.7066] Acc[56.250] Acc-Avg[52.604]
Epoch[2] Batch[30/195] Loss[0.6813] Loss-Avg[0.7047] Acc[55.469] Acc-Avg[51.764]
Epoch[2] Batch[40/195] Loss[0.7269] Loss-Avg[0.7053] Acc[59.375] Acc-Avg[51.982]
Epoch[2] Batch[50/195] Loss[0.7084] Loss-Avg[0.7073] Acc[53.125] Acc-Avg[51.823]
Epoch[2] Batch[60/195] Loss[0.7209] Loss-Avg[0.7073] Acc[46.094] Acc-Avg[51.844]
Epoch[2] Batch[70/195] Loss[0.6959] Loss-Avg[0.7079] Acc[46.875] Acc-Avg[51.827]
Epoch[2] Batch[80/195] Loss[0.6697] Loss-Avg[0.7061] Acc[58.594] Acc-Avg[51.881]
Epoch[2] Batch[90/195] Loss[0.6892] Loss-Avg[0.7045] Acc[57.812] Acc-Avg[52.052]
Epoch[2] Batch[100/195] Loss[0.6960] Loss-Avg[0.7038] Acc[50.000] Acc-Avg[52.251]
Epoch[2] Batch[110/195] Loss[0.7019] Loss-Avg[0.7032] Acc[48.438] Acc-Avg[52.287]
Epoch[2] Batch[120/195] Loss[0.6854] Loss-Avg[0.7023] Acc[54.688] Acc-Avg[52.395]
Epoch[2] Batch[130/195] Loss[0.7066] Loss-Avg[0.7019] Acc[49.219] Acc-Avg[52.326]
Epoch[2] Batch[140/195] Loss[0.6797] Loss-Avg[0.7012] Acc[59.375] Acc-Avg[52.438]
Epoch[2] Batch[150/195] Loss[0.6933] Loss-Avg[0.7004] Acc[50.781] Acc-Avg[52.478]
Epoch[2] Batch[160/195] Loss[0.6611] Loss-Avg[0.6994] Acc[60.156] Acc-Avg[52.674]
Epoch[2] Batch[170/195] Loss[0.6900] Loss-Avg[0.6993] Acc[53.906] Acc-Avg[52.590]
Epoch[2] Batch[180/195] Loss[0.6969] Loss-Avg[0.6983] Acc[53.906] Acc-Avg[52.693]
Epoch[2] Batch[190/195] Loss[0.6848] Loss-Avg[0.6975] Acc[55.469] Acc-Avg[52.798]
Test Acc[56.024]
Epoch[3] Batch[10/195] Loss[0.6366] Loss-Avg[0.6667] Acc[60.938] Acc-Avg[58.594]
Epoch[3] Batch[20/195] Loss[0.6459] Loss-Avg[0.6669] Acc[57.812] Acc-Avg[57.515]
